PCB Components:,,,,,,,
Item,Qty,Reference(s),Description,Catalog Number,Link,Total Price,Notes
1,1,D1,Diode, DA22F2100LCT-ND ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/DA22F2100L/DA22F2100LCT-ND/2658952,0.5,
2,2,"J1, J5",1 x 8 Header Male,,,,
3,1,J2,1 x 6 Header Male,SAM1035-45-ND,https://www.digikey.com/product-detail/en/samtec-inc/TSW-145-07-T-S/SAM1035-45-ND/1101579,2.15,(Pins may be separated from row as needed)
3,2,"J11, J13",1 x 6 Header Female,,,,
4,2,"J3, J9",1 x 2 Header Female,SAM1222-34-ND,https://www.digikey.com/product-detail/en/samtec-inc/SSW-134-02-T-S/SAM1222-34-ND/1112766,3.31,(Connectors may be separated from row as needed)
5,2,"J4, J8",1 x 10 Header Male,,,,
6,1,J6,1 x 3 Header Male,732-5316-ND,https://www.digikey.com/product-detail/en/wurth-electronics-inc/61300311121/732-5316-ND/4846825,0.13,
7,2,"J7, J12",1 x 4 Header Female,,,,
8,1,J10,DC Barrel Jack, CP-037A-ND ,https://www.digikey.com/product-detail/en/cui-inc/PJ-037A/CP-037A-ND/1644545,0.58,
9,1,Q1,Darlington Transistor, MMBT6427LT1GOSCT-ND ,https://www.digikey.com/product-detail/en/on-semiconductor/MMBT6427LT1G/MMBT6427LT1GOSCT-ND/1139827,0.23,
10,1,R1,10k Resistor,RHM10KDCT-ND,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ103/RHM10KDCT-ND/1762925,0.1,
11,1,S1,1 x 3 Dip Switch,CT2193MST-ND,https://www.digikey.com/product-detail/en/cts-electrocomponents/219-3MST/CT2193MST-ND/223194,0.68,
,,,,,,,
Off-board Components:,,,,,,,
Item,Qty,,Description,,,,
1,1,Wall Connector,DC Power Adapter,364-1276-ND,https://www.digikey.com/product-detail/en/curtis-industries/L6R24-120/364-1276-ND/7682639,7.49,
2,1,Sample Stage Unit,Limit Switch,480-2309-ND,https://www.digikey.com/product-detail/en/honeywell-sensing-and-productivity-solutions/11SM1/480-2309-ND/1248460,11.17,
3,1,Sample Stage Unit,Mini Servo,1528-1076-ND,https://www.digikey.com/product-detail/en/adafruit-industries-llc/169/1528-1076-ND/5154651,5.95,
4,1,Motor Drive Board Connector,1 x 10 Header Female,,,,
5,1,Motor Drive Board Connector,1 x 2 Header Male,,,,
,,,,,,,
,,,,,TOTAL,32.29,